likes,weburl,hashtags,description
7,https://www.instagram.com/p/CqA9XF0IotT/,"mediaproduction, filmmaking, gaffer, location, cinematographer, film_making, videographer, photographer, cinematography, filmmkrs, manfrotto, setlighting, photography, middleeast, indoor, cinema, avenger, egypt, filmlife, dp, stands, equipments, atlas_for_media_services, heavystand, lighting, outdoor, video","a man is filming a woman in front of a building with a camera and a light stand in front of him, Altichiero, product photography, a detailed matte painting, art photography"
14,https://www.instagram.com/p/CqA8u8UqpZN/,"behindthescenes, filmmaking, cinemacrew, gaffer, filmcrew, cinematographer, filmcamera, dop, cinematography, crewlife, filmset, setlighting, filmmaker, filmlighting, filmlife, moviemaking, cinematografia, filmlights, filmcrewlicious, directorofphotography, gripandelectric, lightingandgrip, filmproduction, moviesets","a television screen with a group of people on it and a man on the screen with a microphone in front of him, Avgust Černigoj, vfx, a renaissance painting, private press"
45,https://www.instagram.com/p/CqAexlpqqPE/,"behindthescenes, filmmaking, cinemacrew, gaffer, filmcrew, cinematographer, filmcamera, dop, cinematography, crewlife, filmset, setlighting, filmmaker, filmlighting, filmlife, moviemaking, cinematografia, filmlights, filmcrewlicious, directorofphotography, gripandelectric, lightingandgrip, filmproduction, moviesets","a group of people sitting around a table in a room with cameras around them and a man standing in front of a table, David Brewster, professional lighting, a renaissance painting, private press"
37,https://www.instagram.com/p/CqAZGVKyTOw/,"mumbai, vaikhariyawalikar, bombaytimesfashionweek, bombay, cameradept, productionlife, cinemalover, setlighting, filmcrew, lucknow, filmmaker, indiapictures","a man standing on a fence in front of a street with people walking by at night time and a bus in the background, Bikash Bhattacharjee, jayison devadas, a picture, samikshavad"
36,https://www.instagram.com/p/CqAVcaTttcZ/,", filmmakers, filmmaking, filmcar, filmmakersworld, filmcrew, cinematographer, bts, cinematography, moviemakers, filmtransport, lowloader, camerasupport, filmset, setlighting, filmmaker, filmmakerslife, patriotrental, starwagen, gripandlighting, griprigs, cinematographers, productionlife, filmshooting, griplife, moviemaker, lightingandgrip, onset, carplatform","a car is on fire with people watching it burn in the background at night time, with a man sitting on the ground, Avgust Černigoj, vfx, a screenshot, video art"
16,https://www.instagram.com/p/CqANSI1NFRX/,"rucksackliebe, newproductlaunch, filmlighting, newproduct, filmlife, filmmaking, productionlife, newproducts, gaffer, dirtyrigger, new, highlightderwoche, filmset, setlighting, backpack, productionstudio, dirtyriggergear","a backpack with tools and a laptop on it's back pocket and a yellow background with a blue sky and yellow sun, Christian Hilfgott Brand, ultra high definition, a digital rendering, arbeitsrat für kunst"
42,https://www.instagram.com/p/CqAGgT6s8Gr/,"filmproduction, photography, filmmakersworld, thisveryinstant, cookelenses, cinematic, picoftheday, cinematographer, stillfrommotion, cinematography, moodmagic, photographyeveriday, ontheafternoon, setlighting, filmmaker, doplife, setlife, imaginarymagnitude, mooidrenthe, arrialexamini, odtakeovers, cinebible, directorofphotography, art, framegrab, design, ethereal_moods, myfeatureshoot","a man is painting a picture on a easel with a brush and a paintbrush in his hand, David Teniers III, affinity photo, a detailed matte painting, bengal school of art"
46,https://www.instagram.com/p/Cp_vcvivP6t/,"moodlighting, ledlighting, uplighting, highlighting, landscapelighting, gaslighting, goodlighting, architecturallighting, lightings, setlighting, modernlighting, lightinginspiration, lightingdesigner, contouringandhighlighting, decorativelighting, industriallighting, homelighting, naturallighting, badlighting, designerlighting, perfectlighting, treelighting, lighting_design, lightingdecor, customlighting, lightingdesign, lightingideas, lighting, instamood, post","a woman standing in front of a door with lights on it and a brick wall behind her and a sign that says,, Ella Guru, profile picture, a picture, aestheticism"
15,https://www.instagram.com/p/Cp_mEFvsNok/,"lightingtechnician, rgblights, arri, setlife, filmlighting, led, gaffer, gafferlife, rgb, lightdesign, setlighting, arrilighting, cinematographer, doplife, filmlights","a large blue bag sitting on top of a couch next to a plant in a living room next to a window, Flavia Blois, detailed product photo, a stock photo, fluxus"
10,https://www.instagram.com/p/Cp_lRnBtGKu/,"cinematography, setlife, institutocarrion, filmmaking, setfilm, kinoflo, gafferperu, gaffer, brokehlightingsystems, brokehlightingsystemsperu, gafferlife, roadflags, setlight, lighting, setlighting, film","a series of photos of doctors and nurses in scrubs and scrubs uniforms, with their arms crossed, Fernando Amorsolo, promotional image, a jigsaw puzzle, neoplasticism"
26,https://www.instagram.com/p/Cp_cByHPBqC/,"gentree, gaffer, filmcrew, lightingsupport, 언리얼엔진5#루멘시스템#사실적인빛연출, 위메이드#devtalk#나이트크로우, aputure, 조명, setlighting, filmmaker, behindthescene, filmequipment, edkfilm, 아트디렉터를만나다#매드엔진아트디렉터전창규, 촬영, osee, filmgear, 제빚도연출좀아그빚아니지#금리야부탁해, onset, filmproduction, filmlight, nanlite","a light shining through a box on a tripod in a dark room with a spotlight coming from the ceiling, Évariste Vital Luminais, studio light, a hologram, fluxus"
13,https://www.instagram.com/p/Cp_AbfgPyoP/,"movieset, setlights, cinema, lightbank, filmmakers, gripgear, fomex, gaffer, gafferlife, griplife, studiolights, flexibleled, setlighting, rl66, fomexlighting, filmlights","a man standing next to a camera in a room with a green wall and a black backdrop behind him, Fan Kuan, professional lighting, a stock photo, light and space"
32,https://www.instagram.com/p/Cp-7_PmugrJ/,"visualcreatives, project, productioncompany, behindthescenes, colorcorrection, portlandoregon, bts, portland, videoproduction, cinematographer, supportlocal, musicvideo, cinematography, filmdirector, pdx, musicvideos, creative, filmediting, setlighting, artists, filmcommunity, bookingsopen, pdxfilm, videoproductioncompany, onset, filmproduction, film","a woman standing at a keyboard in front of a microphone in a room with purple lighting and a group of people, Bela Čikoš Sesija, anamorphic lens flare, a screenshot, private press"
26,https://www.instagram.com/p/Cp-wqXvsrEa/,"filmindustry, musicvideolighting, lightingtechs, lightinggear, lightingdesign, tvlighting, locationlighting, cinematography, musicindustry, lightingrental, onsetlighting, setlighting, filmlighting, lightingproduction, tvindustry, gripandelectric, lightingrentals, studiolighting, lightingequipment, lightingcrew","a woman in a vest and a hat is holding a purse and a man in uniform is behind her, Anne Said, vfx, a renaissance painting, panfuturism"
8,https://www.instagram.com/p/Cp8u7TRvJTr/,"movieset, setlights, cinema, lightbank, filmmakers, gripgear, fomex, gaffer, gafferlife, griplife, studiolights, flexibleled, setlighting, rl66, fomexlighting, filmlights","a man holding a mattress in front of a camera and a screen with the words rolllite a whole new level of experience, Félix Ziem, rtx, a detailed matte painting, maximalism"
19,https://www.instagram.com/p/Cp-lyYMJ50w/,"dmgdash, setlightingfixtures, blackoutapp, lighting., ledlighting, gaffer, chieflightingtechnician, igotit, setlightingcrew, ledtechnology, setlighting, technology, iatselocal728","a close up of a cell phone with a colorful background and a black background with a red, blue, and yellow cell phone, Évariste Vital Luminais, volumetric lights, a screenshot, purism"
10,https://www.instagram.com/p/Cp-YFXcNB93/,"behindthescenes, filminfo, filming, coolfacts, didyouknowthat, hivelighting, didyouknow, information, setlighting, trivia, didyouknowdaily, techtrivia, hive, videoaccessories, kelvin, footage, dp, filmequipment, litbyhive, recording, sound, techfacts, kelvinlighting, lightingrigger, themoreyouknow, studiolighting, lighting, production, didyouknowfacts, video","a camera and a light on a stand with a caption that reads, did you know? lighting rigs, also called lighting technicians, are responsible for, Doug Ohlson, professional lighting, a stock photo, video art"
24,https://www.instagram.com/p/Cp-O350t0Ub/,"filmcrewmagazine, movieset, realisateur, directorofphotography, cinematography, moviemakers, productionlife, filmmaking, behindthescene, camerasetup, gaffer, filmmakersworld, videoproduction, setlighting, videomaking","a man and woman are making funny faces together while posing for a picture together in a black and white photo, Felix-Kelly, perfect faces, a black and white photo, international gothic"
6,https://www.instagram.com/p/Cp9DszaM2wc/,"keephollywoodhome, behindthescenes, filmlosangeles, director, filmmaking, filmcrew, iatse, filming, lighteverywhere, bts, cinematography, cinema, vscocam, setlighting, filmmaker, setlife, filmlife, setlightingtechnician, filmshoot, motionpicturelightingandgrip, iatse728, filmla, movie, movieset, productionlife, losangeles, onset, filmproduction, set, film","a man sitting on a bench in the rain with his foot up on the ground and his hand on his hip, Carlos Trillo Name, movie poster, an album cover, plasticien"
27,https://www.instagram.com/p/Cp8doenNdZE/,"visualcreatives, project, productioncompany, behindthescenes, colorcorrection, portlandoregon, bts, portland, videoproduction, cinematographer, supportlocal, musicvideo, cinematography, filmdirector, pdx, musicvideos, creative, filmediting, setlighting, artists, filmcommunity, bookingsopen, pdxfilm, videoproductioncompany, onset, filmproduction, film","a group of people standing around a room with a tv on the table and a camera on the floor, Bela Čikoš Sesija, anamorphic lens, a screenshot, barbizon school"
5,https://www.instagram.com/p/Cp8cnV8rk8n/,"officefurniture, oillamps, pendantlamps, upcycledfurniture, bespokefurniture, lightingiseverything, furnituremalang, furniturejati, thatlightingtho, furniturekalimantan, landscapelighting, handmadelampshade, marshallamps_uk, setlighting, lightinginspiration, lampskärm, lightingtrendz, decorativelighting, furnitures, handmadelamps, designerlighting, hanginglamps, furnituresemarang, industriallamps, lighting_design, lightingdecor, designlamps, nippleclamps, furnituremaker, furnituretangerang","a living room with a couch, table, and a mirror on the wall and a chandelier, Enguerrand Quarton, neutral dull colors, a flemish Baroque, rococo"
